source_id,source_name,source_category,role,target_id,target_name,target_category,is_inverse
h25,RH56E2 SERIES,灵巧手 & 夹爪,series-member,h5,RH50G2,灵巧手 & 夹爪,0
h27,H2 AZZURRA,灵巧手 & 夹爪,series-member,h42,MIA HAND MK2,灵巧手 & 夹爪,0
h29,DEXTEROUS HAND,灵巧手 & 夹爪,series-member,h24,DEX-EE,灵巧手 & 夹爪,0
h29,DEXTEROUS HAND,灵巧手 & 夹爪,related,sw-agibot-world,AgiBot World (Colosseo),数据集,0
h29,DEXTEROUS HAND,灵巧手 & 夹爪,related,sw-openai-dexterous,Dexterous In-Hand Manipulation (RL/PPO + Domain Randomization),控制算法,0
h30,DEXH5,灵巧手 & 夹爪,series-member,h21,GMH18,灵巧手 & 夹爪,0
h30,DEXH5,灵巧手 & 夹爪,series-member,h41,DEXH13,灵巧手 & 夹爪,0
h33,HXS-D20,灵巧手 & 夹爪,tech-base,f79,AI WORKER,整机平台,1
h33,HXS-D20,灵巧手 & 夹爪,tech-base,j2,Dynamixel PH54-200-S500,关节模组,0
h33,HXS-D20,灵巧手 & 夹爪,tech-base,joint-dynamixel-ph42-020,Dynamixel PH42-020-S300,关节模组,0
h33,HXS-D20,灵巧手 & 夹爪,tech-base,joint-dynamixel-xh540-w270,Dynamixel XH540-W270,关节模组,0
h33,HXS-D20,灵巧手 & 夹爪,tech-base,joint-dynamixel-xm430-w350,Dynamixel XM430-W350,关节模组,0
h39,DG-5F,灵巧手 & 夹爪,series-member,h3,DG-3F-S,灵巧手 & 夹爪,0
h41,DEXH13,灵巧手 & 夹爪,series-member,h21,GMH18,灵巧手 & 夹爪,0
h41,DEXH13,灵巧手 & 夹爪,series-member,h30,DEXH5,灵巧手 & 夹爪,0
h42,MIA HAND MK2,灵巧手 & 夹爪,series-member,h27,H2 AZZURRA,灵巧手 & 夹爪,0
h47,MAGICAND S01,灵巧手 & 夹爪,manufacturer,ind-limx,LimX Dynamics,产业,0
h47,MAGICAND S01,灵巧手 & 夹爪,manufacturer,stg-ind-magiclab,MagicLab (魔法原子),产业,0
h47,MAGICAND S01,灵巧手 & 夹爪,tech-base,f30,MAGICBOT,整机平台,1
arm-ur3e,UR3e,机械臂,series-member,a1,UR10e,机械臂,0
arm-ur3e,UR3e,机械臂,series-member,arm-ur16e,UR16e,机械臂,0
arm-ur3e,UR3e,机械臂,series-member,arm-ur20,UR20,机械臂,0
arm-ur3e,UR3e,机械臂,series-member,arm-ur30,UR30,机械臂,0
arm-ur3e,UR3e,机械臂,series-member,arm-ur5e,UR5e,机械臂,0
arm-ur5e,UR5e,机械臂,series-member,a1,UR10e,机械臂,0
arm-ur5e,UR5e,机械臂,series-member,arm-ur16e,UR16e,机械臂,0
arm-ur5e,UR5e,机械臂,series-member,arm-ur20,UR20,机械臂,0
arm-ur5e,UR5e,机械臂,series-member,arm-ur30,UR30,机械臂,0
arm-ur5e,UR5e,机械臂,series-member,arm-ur3e,UR3e,机械臂,0
arm-ur16e,UR16e,机械臂,series-member,a1,UR10e,机械臂,0
arm-ur16e,UR16e,机械臂,series-member,arm-ur20,UR20,机械臂,0
arm-ur16e,UR16e,机械臂,series-member,arm-ur30,UR30,机械臂,0
arm-ur16e,UR16e,机械臂,series-member,arm-ur3e,UR3e,机械臂,0
arm-ur16e,UR16e,机械臂,series-member,arm-ur5e,UR5e,机械臂,0
arm-ur20,UR20,机械臂,series-member,a1,UR10e,机械臂,0
arm-ur20,UR20,机械臂,series-member,arm-ur16e,UR16e,机械臂,0
arm-ur20,UR20,机械臂,series-member,arm-ur3e,UR3e,机械臂,0
arm-ur20,UR20,机械臂,series-member,arm-ur5e,UR5e,机械臂,0
arm-ur30,UR30,机械臂,series-member,a1,UR10e,机械臂,0
arm-ur30,UR30,机械臂,series-member,arm-ur16e,UR16e,机械臂,0
arm-ur30,UR30,机械臂,series-member,arm-ur3e,UR3e,机械臂,0
arm-ur30,UR30,机械臂,series-member,arm-ur5e,UR5e,机械臂,0
arm-fr3,Franka Research 3,机械臂,series-member,a2,Franka Emika Panda,机械臂,0
arm-fr3,Franka Research 3,机械臂,deployed-at,app-education-stem,Education & STEM Robotics,应用场景,0
arm-kinova-gen3,Kinova Gen3 (7-DOF),机械臂,series-member,arm-kinova-gen3-lite,Kinova Gen3 lite,机械臂,0
arm-kinova-gen3-lite,Kinova Gen3 lite,机械臂,series-member,arm-kinova-gen3,Kinova Gen3 (7-DOF),机械臂,0
arm-kuka-iiwa-7-r800,LBR iiwa 7 R800,机械臂,series-member,arm-kuka-iiwa-14-r820,LBR iiwa 14 R820,机械臂,0
arm-kuka-iiwa-14-r820,LBR iiwa 14 R820,机械臂,series-member,arm-kuka-iiwa-7-r800,LBR iiwa 7 R800,机械臂,0
arm-jaka-zu5,JAKA Zu 5,机械臂,competitor,a4,JAKA K1,机械臂,0
arm-jaka-zu5,JAKA Zu 5,机械臂,series-member,arm-jaka-minicobo,JAKA MiniCobo,机械臂,0
arm-jaka-minicobo,JAKA MiniCobo,机械臂,competitor,a4,JAKA K1,机械臂,0
arm-jaka-minicobo,JAKA MiniCobo,机械臂,series-member,arm-jaka-zu5,JAKA Zu 5,机械臂,0
arm-aubo-i5,AUBO i5,机械臂,series-member,arm-aubo-i10,AUBO i10,机械臂,0
arm-aubo-i10,AUBO i10,机械臂,series-member,arm-aubo-i5,AUBO i5,机械臂,0
arm-realman-rm65,Realman RM65-B,机械臂,series-member,arm-realman-rm75,Realman RM75-B,机械臂,0
arm-realman-rm75,Realman RM75-B,机械臂,series-member,arm-realman-rm65,Realman RM65-B,机械臂,0
arm-doosan-m0609,Doosan M0609,机械臂,series-member,arm-doosan-h2017,Doosan H2017,机械臂,0
arm-doosan-m0609,Doosan M0609,机械臂,series-member,arm-doosan-m1013,Doosan M1013,机械臂,0
arm-doosan-m1013,Doosan M1013,机械臂,series-member,arm-doosan-h2017,Doosan H2017,机械臂,0
arm-doosan-m1013,Doosan M1013,机械臂,series-member,arm-doosan-m0609,Doosan M0609,机械臂,0
arm-doosan-h2017,Doosan H2017,机械臂,series-member,arm-doosan-m0609,Doosan M0609,机械臂,0
arm-doosan-h2017,Doosan H2017,机械臂,series-member,arm-doosan-m1013,Doosan M1013,机械臂,0
arm-techman-tm5-900,Techman TM5-900,机械臂,tech-base,f7,YM XPLORE 1,整机平台,1
arm-techman-tm5-900,Techman TM5-900,机械臂,series-member,arm-techman-tm12,Techman TM12,机械臂,0
arm-techman-tm12,Techman TM12,机械臂,tech-base,f7,YM XPLORE 1,整机平台,1
arm-techman-tm12,Techman TM12,机械臂,series-member,arm-techman-tm5-900,Techman TM5-900,机械臂,0
arm-elite-cs66,Elite Robots CS66,机械臂,series-member,arm-elite-ec66,Elite Robots EC66,机械臂,0
arm-elite-cs66,Elite Robots CS66,机械臂,deployed-at,app-cleaning,Commercial Cleaning,应用场景,0
arm-elite-cs66,Elite Robots CS66,机械臂,deployed-at,app-hospitality,Hospitality / Food Service,应用场景,0
arm-elite-cs66,Elite Robots CS66,机械臂,deployed-at,app-last-mile-delivery,Last-Mile Sidewalk Delivery,应用场景,0
arm-elite-cs66,Elite Robots CS66,机械臂,deployed-at,app-warehouse,Warehouse Fulfillment,应用场景,0
arm-elite-ec66,Elite Robots EC66,机械臂,series-member,arm-elite-cs66,Elite Robots CS66,机械臂,0
arm-elite-ec66,Elite Robots EC66,机械臂,deployed-at,app-cleaning,Commercial Cleaning,应用场景,0
arm-elite-ec66,Elite Robots EC66,机械臂,deployed-at,app-hospitality,Hospitality / Food Service,应用场景,0
arm-elite-ec66,Elite Robots EC66,机械臂,deployed-at,app-last-mile-delivery,Last-Mile Sidewalk Delivery,应用场景,0
arm-elite-ec66,Elite Robots EC66,机械臂,deployed-at,app-warehouse,Warehouse Fulfillment,应用场景,0
arm-abb-gofa-5,ABB GoFa CRB 15000-5,机械臂,series-member,arm-abb-yumi-irb14000,ABB YuMi IRB 14000,机械臂,0
arm-abb-yumi-irb14000,ABB YuMi IRB 14000,机械臂,series-member,arm-abb-gofa-5,ABB GoFa CRB 15000-5,机械臂,0
joint-robstride-01,Robstride 01,关节模组,manufacturer,stg-ind-robstride,RobStride Dynamics (灵足时代),产业,0
joint-robstride-01,Robstride 01,关节模组,series-member,joint-robstride-02,Robstride 02,关节模组,0
joint-robstride-01,Robstride 01,关节模组,series-member,joint-robstride-03,Robstride 03,关节模组,0
joint-robstride-01,Robstride 01,关节模组,series-member,joint-robstride-04,Robstride 04,关节模组,0
joint-robstride-01,Robstride 01,关节模组,series-member,joint-robstride-06,Robstride 06,关节模组,0
joint-robstride-02,Robstride 02,关节模组,manufacturer,stg-ind-robstride,RobStride Dynamics (灵足时代),产业,0
joint-robstride-02,Robstride 02,关节模组,series-member,joint-robstride-01,Robstride 01,关节模组,0
joint-robstride-02,Robstride 02,关节模组,series-member,joint-robstride-03,Robstride 03,关节模组,0
joint-robstride-02,Robstride 02,关节模组,series-member,joint-robstride-04,Robstride 04,关节模组,0
joint-robstride-02,Robstride 02,关节模组,series-member,joint-robstride-06,Robstride 06,关节模组,0
joint-robstride-03,Robstride 03,关节模组,manufacturer,stg-ind-robstride,RobStride Dynamics (灵足时代),产业,0
joint-robstride-03,Robstride 03,关节模组,series-member,joint-robstride-01,Robstride 01,关节模组,0
joint-robstride-03,Robstride 03,关节模组,series-member,joint-robstride-02,Robstride 02,关节模组,0
joint-robstride-03,Robstride 03,关节模组,series-member,joint-robstride-04,Robstride 04,关节模组,0
joint-robstride-03,Robstride 03,关节模组,series-member,joint-robstride-06,Robstride 06,关节模组,0
joint-robstride-04,Robstride 04,关节模组,manufacturer,stg-ind-robstride,RobStride Dynamics (灵足时代),产业,0
joint-robstride-04,Robstride 04,关节模组,series-member,joint-robstride-01,Robstride 01,关节模组,0
joint-robstride-04,Robstride 04,关节模组,series-member,joint-robstride-02,Robstride 02,关节模组,0
joint-robstride-04,Robstride 04,关节模组,series-member,joint-robstride-03,Robstride 03,关节模组,0
joint-robstride-04,Robstride 04,关节模组,series-member,joint-robstride-06,Robstride 06,关节模组,0
joint-robstride-06,Robstride 06,关节模组,manufacturer,stg-ind-robstride,RobStride Dynamics (灵足时代),产业,0
joint-robstride-06,Robstride 06,关节模组,series-member,joint-robstride-01,Robstride 01,关节模组,0
joint-robstride-06,Robstride 06,关节模组,series-member,joint-robstride-02,Robstride 02,关节模组,0
joint-robstride-06,Robstride 06,关节模组,series-member,joint-robstride-03,Robstride 03,关节模组,0
joint-robstride-06,Robstride 06,关节模组,series-member,joint-robstride-04,Robstride 04,关节模组,0
joint-cubemars-ak80-9,CubeMars AK80-9 V3.0,关节模组,series-member,joint-cubemars-ak60-6,CubeMars AK60-6 V3.0,关节模组,0
joint-cubemars-ak80-9,CubeMars AK80-9 V3.0,关节模组,series-member,joint-cubemars-ak70-10,CubeMars AK70-10,关节模组,0
joint-cubemars-ak70-10,CubeMars AK70-10,关节模组,series-member,joint-cubemars-ak60-6,CubeMars AK60-6 V3.0,关节模组,0
joint-cubemars-ak70-10,CubeMars AK70-10,关节模组,series-member,joint-cubemars-ak80-9,CubeMars AK80-9 V3.0,关节模组,0
joint-cubemars-ak60-6,CubeMars AK60-6 V3.0,关节模组,series-member,joint-cubemars-ak70-10,CubeMars AK70-10,关节模组,0
joint-cubemars-ak60-6,CubeMars AK60-6 V3.0,关节模组,series-member,joint-cubemars-ak80-9,CubeMars AK80-9 V3.0,关节模组,0
joint-steadywin-gim6010-8,SteadyWin GIM6010-8,关节模组,manufacturer,stg-ind-steadywin,SteadyWin,产业,0
joint-steadywin-gim6010-8,SteadyWin GIM6010-8,关节模组,series-member,joint-steadywin-gim8108-8,SteadyWin GIM8108-8,关节模组,0
joint-steadywin-gim6010-8,SteadyWin GIM6010-8,关节模组,series-member,joint-steadywin-gim8115-6,SteadyWin GIM8115-6,关节模组,0
joint-steadywin-gim8108-8,SteadyWin GIM8108-8,关节模组,manufacturer,stg-ind-steadywin,SteadyWin,产业,0
joint-steadywin-gim8108-8,SteadyWin GIM8108-8,关节模组,series-member,joint-steadywin-gim6010-8,SteadyWin GIM6010-8,关节模组,0
joint-steadywin-gim8108-8,SteadyWin GIM8108-8,关节模组,series-member,joint-steadywin-gim8115-6,SteadyWin GIM8115-6,关节模组,0
joint-steadywin-gim8115-6,SteadyWin GIM8115-6,关节模组,manufacturer,stg-ind-steadywin,SteadyWin,产业,0
joint-steadywin-gim8115-6,SteadyWin GIM8115-6,关节模组,series-member,joint-steadywin-gim6010-8,SteadyWin GIM6010-8,关节模组,0
joint-steadywin-gim8115-6,SteadyWin GIM8115-6,关节模组,series-member,joint-steadywin-gim8108-8,SteadyWin GIM8108-8,关节模组,0
joint-dynamixel-xm430-w350,Dynamixel XM430-W350,关节模组,tech-base,f79,AI WORKER,整机平台,1
joint-dynamixel-xm430-w350,Dynamixel XM430-W350,关节模组,tech-base,h33,HXS-D20,灵巧手 & 夹爪,1
joint-dynamixel-xm430-w350,Dynamixel XM430-W350,关节模组,competitor,j2,Dynamixel PH54-200-S500,关节模组,0
joint-dynamixel-xm430-w350,Dynamixel XM430-W350,关节模组,competitor,joint-dynamixel-ph42-020,Dynamixel PH42-020-S300,关节模组,0
joint-dynamixel-xm430-w350,Dynamixel XM430-W350,关节模组,series-member,joint-dynamixel-xh540-w270,Dynamixel XH540-W270,关节模组,0
joint-dynamixel-xh540-w270,Dynamixel XH540-W270,关节模组,tech-base,f79,AI WORKER,整机平台,1
joint-dynamixel-xh540-w270,Dynamixel XH540-W270,关节模组,tech-base,h33,HXS-D20,灵巧手 & 夹爪,1
joint-dynamixel-xh540-w270,Dynamixel XH540-W270,关节模组,competitor,j2,Dynamixel PH54-200-S500,关节模组,0
joint-dynamixel-xh540-w270,Dynamixel XH540-W270,关节模组,competitor,joint-dynamixel-ph42-020,Dynamixel PH42-020-S300,关节模组,0
joint-dynamixel-xh540-w270,Dynamixel XH540-W270,关节模组,series-member,joint-dynamixel-xm430-w350,Dynamixel XM430-W350,关节模组,0
joint-dynamixel-ph42-020,Dynamixel PH42-020-S300,关节模组,tech-base,f79,AI WORKER,整机平台,1
joint-dynamixel-ph42-020,Dynamixel PH42-020-S300,关节模组,tech-base,h33,HXS-D20,灵巧手 & 夹爪,1
joint-dynamixel-ph42-020,Dynamixel PH42-020-S300,关节模组,series-member,j2,Dynamixel PH54-200-S500,关节模组,0
joint-dynamixel-ph42-020,Dynamixel PH42-020-S300,关节模组,competitor,joint-dynamixel-xh540-w270,Dynamixel XH540-W270,关节模组,0
joint-dynamixel-ph42-020,Dynamixel PH42-020-S300,关节模组,competitor,joint-dynamixel-xm430-w350,Dynamixel XM430-W350,关节模组,0
joint-hebi-x5-9,HEBI X5-9,关节模组,series-member,joint-hebi-x8-16,HEBI X8-16,关节模组,0
joint-hebi-x8-16,HEBI X8-16,关节模组,series-member,joint-hebi-x5-9,HEBI X5-9,关节模组,0
joint-unitree-go-m8010-6,Unitree GO-M8010-6,关节模组,manufacturer,ind-unitree,Unitree Robotics (宇树科技),产业,0
joint-unitree-go-m8010-6,Unitree GO-M8010-6,关节模组,tech-base,f24,H2,整机平台,1
joint-unitree-go-m8010-6,Unitree GO-M8010-6,关节模组,series-member,joint-unitree-a1,Unitree A1 Motor,关节模组,0
joint-unitree-go-m8010-6,Unitree GO-M8010-6,关节模组,related,pwr-unitree-h1-battery,Unitree H1 Battery Pack,能源动力,0
joint-unitree-a1,Unitree A1 Motor,关节模组,manufacturer,ind-unitree,Unitree Robotics (宇树科技),产业,0
joint-unitree-a1,Unitree A1 Motor,关节模组,tech-base,f24,H2,整机平台,1
joint-unitree-a1,Unitree A1 Motor,关节模组,series-member,joint-unitree-go-m8010-6,Unitree GO-M8010-6,关节模组,0
joint-unitree-a1,Unitree A1 Motor,关节模组,related,pwr-unitree-h1-battery,Unitree H1 Battery Pack,能源动力,0
sensor-realsense-d435i,RealSense Depth Camera D435i,传感器,series-member,s1,RealSense Depth Camera D455,传感器,0
sensor-realsense-d435i,RealSense Depth Camera D435i,传感器,series-member,sensor-realsense-d457,RealSense Depth Camera D457 (GMSL/FAKRA),传感器,0
sensor-realsense-d435i,RealSense Depth Camera D435i,传感器,competitor,sensor-realsense-l515,RealSense LiDAR Camera L515,传感器,0
sensor-realsense-d457,RealSense Depth Camera D457 (GMSL/FAKRA),传感器,series-member,s1,RealSense Depth Camera D455,传感器,0
sensor-realsense-d457,RealSense Depth Camera D457 (GMSL/FAKRA),传感器,series-member,sensor-realsense-d435i,RealSense Depth Camera D435i,传感器,0
sensor-realsense-d457,RealSense Depth Camera D457 (GMSL/FAKRA),传感器,competitor,sensor-realsense-l515,RealSense LiDAR Camera L515,传感器,0
sensor-realsense-l515,RealSense LiDAR Camera L515,传感器,competitor,s1,RealSense Depth Camera D455,传感器,0
sensor-realsense-l515,RealSense LiDAR Camera L515,传感器,competitor,sensor-realsense-d435i,RealSense Depth Camera D435i,传感器,0
sensor-realsense-l515,RealSense LiDAR Camera L515,传感器,competitor,sensor-realsense-d457,RealSense Depth Camera D457 (GMSL/FAKRA),传感器,0
sensor-orbbec-femto-bolt,Femto Bolt,传感器,manufacturer,stg-ind-orbbec,Orbbec (奥比中光),产业,0
sensor-orbbec-femto-bolt,Femto Bolt,传感器,series-member,sensor-orbbec-femto-mega,Femto Mega,传感器,0
sensor-orbbec-femto-bolt,Femto Bolt,传感器,competitor,sensor-orbbec-gemini-335,Gemini 335,传感器,0
sensor-orbbec-femto-bolt,Femto Bolt,传感器,competitor,sensor-orbbec-gemini-335le,Gemini 335Le,传感器,0
sensor-orbbec-femto-mega,Femto Mega,传感器,manufacturer,stg-ind-orbbec,Orbbec (奥比中光),产业,0
sensor-orbbec-femto-mega,Femto Mega,传感器,series-member,sensor-orbbec-femto-bolt,Femto Bolt,传感器,0
sensor-orbbec-femto-mega,Femto Mega,传感器,competitor,sensor-orbbec-gemini-335,Gemini 335,传感器,0
sensor-orbbec-femto-mega,Femto Mega,传感器,competitor,sensor-orbbec-gemini-335le,Gemini 335Le,传感器,0
sensor-orbbec-gemini-335,Gemini 335,传感器,manufacturer,stg-ind-orbbec,Orbbec (奥比中光),产业,0
sensor-orbbec-gemini-335,Gemini 335,传感器,competitor,sensor-orbbec-femto-bolt,Femto Bolt,传感器,0
sensor-orbbec-gemini-335,Gemini 335,传感器,competitor,sensor-orbbec-femto-mega,Femto Mega,传感器,0
sensor-orbbec-gemini-335,Gemini 335,传感器,series-member,sensor-orbbec-gemini-335le,Gemini 335Le,传感器,0
sensor-orbbec-gemini-335le,Gemini 335Le,传感器,manufacturer,stg-ind-orbbec,Orbbec (奥比中光),产业,0
sensor-orbbec-gemini-335le,Gemini 335Le,传感器,competitor,sensor-orbbec-femto-bolt,Femto Bolt,传感器,0
sensor-orbbec-gemini-335le,Gemini 335Le,传感器,competitor,sensor-orbbec-femto-mega,Femto Mega,传感器,0
sensor-orbbec-gemini-335le,Gemini 335Le,传感器,series-member,sensor-orbbec-gemini-335,Gemini 335,传感器,0
sensor-azure-kinect-dk,Azure Kinect DK,传感器,related,stg-vc-msft,Microsoft,资本,0
sensor-mech-mind-pro-m,Mech-Eye PRO M,传感器,competitor,sensor-mech-mind-lsr-s,Mech-Eye LSR S,传感器,0
sensor-mech-mind-lsr-s,Mech-Eye LSR S,传感器,competitor,sensor-mech-mind-pro-m,Mech-Eye PRO M,传感器,0
sensor-photoneo-phoxi-m,PhoXi 3D Scanner M,传感器,competitor,sensor-photoneo-motioncam-3d,MotionCam-3D,传感器,0
sensor-photoneo-motioncam-3d,MotionCam-3D,传感器,competitor,sensor-photoneo-phoxi-m,PhoXi 3D Scanner M,传感器,0
sensor-stereolabs-zed2i,ZED 2i,传感器,competitor,sensor-stereolabs-zed-x,ZED X,传感器,0
sensor-stereolabs-zed-x,ZED X,传感器,competitor,sensor-stereolabs-zed2i,ZED 2i,传感器,0
sensor-ati-mini40,Mini40 F/T Sensor,传感器,series-member,s2,Axia80 F/T Sensor,传感器,0
sensor-velodyne-vlp16,Puck (VLP-16),传感器,series-member,sensor-velodyne-alpha-prime,Alpha Prime (VLS-128),传感器,0
sensor-velodyne-alpha-prime,Alpha Prime (VLS-128),传感器,series-member,sensor-velodyne-vlp16,Puck (VLP-16),传感器,0
sensor-hesai-at128,AT128,传感器,series-member,sensor-hesai-xt16,PandarXT-16,传感器,0
sensor-hesai-xt16,PandarXT-16,传感器,series-member,sensor-hesai-at128,AT128,传感器,0
sensor-livox-mid360,Mid-360,传感器,manufacturer,stg-ind-livox,Livox (览沃科技),产业,0
sensor-livox-mid360,Mid-360,传感器,series-member,sensor-livox-hap,HAP (TX),传感器,0
sensor-livox-mid360,Mid-360,传感器,series-member,sensor-livox-mid40,Mid-40,传感器,0
sensor-livox-hap,HAP (TX),传感器,manufacturer,stg-ind-livox,Livox (览沃科技),产业,0
sensor-livox-hap,HAP (TX),传感器,series-member,sensor-livox-mid360,Mid-360,传感器,0
sensor-livox-hap,HAP (TX),传感器,series-member,sensor-livox-mid40,Mid-40,传感器,0
sensor-livox-mid40,Mid-40,传感器,manufacturer,stg-ind-livox,Livox (览沃科技),产业,0
sensor-livox-mid40,Mid-40,传感器,series-member,sensor-livox-hap,HAP (TX),传感器,0
sensor-livox-mid40,Mid-40,传感器,series-member,sensor-livox-mid360,Mid-360,传感器,0
comp-harmonic-csf-2up,CSF-2UP Ultra-Flat Gearhead,核心零部件,series-member,c1,CSF-2UH Strain Wave Gear Unit,核心零部件,0
comp-nabtesco-rv-n,RV-N Cycloidal Reducer,核心零部件,series-member,comp-nabtesco-rv-c,RV-C Hollow-Shaft Cycloidal Reducer,核心零部件,0
comp-nabtesco-rv-c,RV-C Hollow-Shaft Cycloidal Reducer,核心零部件,series-member,comp-nabtesco-rv-n,RV-N Cycloidal Reducer,核心零部件,0
pwr-spot-battery,Spot Battery,能源动力,manufacturer,ind-boston-dynamics,Boston Dynamics,产业,0
pwr-spot-battery,Spot Battery,能源动力,tech-base,f29,ATLAS,整机平台,1
pwr-unitree-h1-battery,Unitree H1 Battery Pack,能源动力,manufacturer,ind-unitree,Unitree Robotics (宇树科技),产业,0
pwr-unitree-h1-battery,Unitree H1 Battery Pack,能源动力,tech-base,f24,H2,整机平台,1
pwr-unitree-h1-battery,Unitree H1 Battery Pack,能源动力,related,joint-unitree-a1,Unitree A1 Motor,关节模组,0
pwr-unitree-h1-battery,Unitree H1 Battery Pack,能源动力,related,joint-unitree-go-m8010-6,Unitree GO-M8010-6,关节模组,0
teleop-aloha,ALOHA (bimanual teleop),数采 & 遥操,competitor,teleop-mobile-aloha,Mobile ALOHA,数采 & 遥操,0
teleop-aloha,ALOHA (bimanual teleop),数采 & 遥操,related,lab-bair-autolab,UC Berkeley AUTOLab (BAIR),实验室,0
teleop-aloha,ALOHA (bimanual teleop),数采 & 遥操,related,lab-sail,Stanford SAIL,实验室,0
teleop-mobile-aloha,Mobile ALOHA,数采 & 遥操,competitor,teleop-aloha,ALOHA (bimanual teleop),数采 & 遥操,0
teleop-mobile-aloha,Mobile ALOHA,数采 & 遥操,related,lab-sail,Stanford SAIL,实验室,0
teleop-gello,GELLO,数采 & 遥操,related,lab-bair-autolab,UC Berkeley AUTOLab (BAIR),实验室,0
teleop-manus-quantum,Quantum Metagloves,数采 & 遥操,competitor,teleop-manus-prime-x-haptic,Prime X Haptic VR,数采 & 遥操,0
teleop-manus-prime-x-haptic,Prime X Haptic VR,数采 & 遥操,competitor,teleop-manus-quantum,Quantum Metagloves,数采 & 遥操,0
teleop-apple-vision-pro,Apple Vision Pro,数采 & 遥操,related,cp-apple-mac-mini-m4,Mac mini (M4 / M4 Pro),计算平台,0
cp-jetson-orin-nx,Jetson Orin NX (16GB / 8GB),计算平台,manufacturer,ind1,NVIDIA Robotics,产业,0
cp-jetson-orin-nx,Jetson Orin NX (16GB / 8GB),计算平台,series-member,cp-jetson-agx-thor,Jetson AGX Thor (T5000),计算平台,0
cp-jetson-orin-nx,Jetson Orin NX (16GB / 8GB),计算平台,series-member,cp-jetson-agx-xavier,Jetson AGX Xavier (legacy),计算平台,0
cp-jetson-orin-nx,Jetson Orin NX (16GB / 8GB),计算平台,series-member,cp-jetson-nano,Jetson Nano (legacy),计算平台,0
cp-jetson-orin-nx,Jetson Orin NX (16GB / 8GB),计算平台,series-member,cp-jetson-orin-nano,Jetson Orin Nano (8GB / 4GB),计算平台,0
cp-jetson-orin-nx,Jetson Orin NX (16GB / 8GB),计算平台,series-member,cp1,Jetson AGX Orin (64GB / 32GB),计算平台,0
cp-jetson-orin-nano,Jetson Orin Nano (8GB / 4GB),计算平台,manufacturer,ind1,NVIDIA Robotics,产业,0
cp-jetson-orin-nano,Jetson Orin Nano (8GB / 4GB),计算平台,series-member,cp-jetson-agx-thor,Jetson AGX Thor (T5000),计算平台,0
cp-jetson-orin-nano,Jetson Orin Nano (8GB / 4GB),计算平台,series-member,cp-jetson-agx-xavier,Jetson AGX Xavier (legacy),计算平台,0
cp-jetson-orin-nano,Jetson Orin Nano (8GB / 4GB),计算平台,series-member,cp-jetson-nano,Jetson Nano (legacy),计算平台,0
cp-jetson-orin-nano,Jetson Orin Nano (8GB / 4GB),计算平台,series-member,cp-jetson-orin-nx,Jetson Orin NX (16GB / 8GB),计算平台,0
cp-jetson-orin-nano,Jetson Orin Nano (8GB / 4GB),计算平台,series-member,cp1,Jetson AGX Orin (64GB / 32GB),计算平台,0
cp-jetson-agx-thor,Jetson AGX Thor (T5000),计算平台,manufacturer,ind1,NVIDIA Robotics,产业,0
cp-jetson-agx-thor,Jetson AGX Thor (T5000),计算平台,tech-base,f24,H2,整机平台,1
cp-jetson-agx-thor,Jetson AGX Thor (T5000),计算平台,tech-base,f29,ATLAS,整机平台,1
cp-jetson-agx-thor,Jetson AGX Thor (T5000),计算平台,tech-base,f34,NEO Gamma,整机平台,1
cp-jetson-agx-thor,Jetson AGX Thor (T5000),计算平台,series-member,cp-jetson-agx-xavier,Jetson AGX Xavier (legacy),计算平台,0
cp-jetson-agx-thor,Jetson AGX Thor (T5000),计算平台,series-member,cp-jetson-nano,Jetson Nano (legacy),计算平台,0
cp-jetson-agx-thor,Jetson AGX Thor (T5000),计算平台,series-member,cp-jetson-orin-nano,Jetson Orin Nano (8GB / 4GB),计算平台,0
cp-jetson-agx-thor,Jetson AGX Thor (T5000),计算平台,series-member,cp-jetson-orin-nx,Jetson Orin NX (16GB / 8GB),计算平台,0
cp-jetson-agx-thor,Jetson AGX Thor (T5000),计算平台,series-member,cp1,Jetson AGX Orin (64GB / 32GB),计算平台,0
cp-jetson-nano,Jetson Nano (legacy),计算平台,manufacturer,ind1,NVIDIA Robotics,产业,0
cp-jetson-nano,Jetson Nano (legacy),计算平台,series-member,cp-jetson-agx-thor,Jetson AGX Thor (T5000),计算平台,0
cp-jetson-nano,Jetson Nano (legacy),计算平台,series-member,cp-jetson-orin-nano,Jetson Orin Nano (8GB / 4GB),计算平台,0
cp-jetson-nano,Jetson Nano (legacy),计算平台,series-member,cp-jetson-orin-nx,Jetson Orin NX (16GB / 8GB),计算平台,0
cp-jetson-nano,Jetson Nano (legacy),计算平台,series-member,cp1,Jetson AGX Orin (64GB / 32GB),计算平台,0
cp-jetson-agx-xavier,Jetson AGX Xavier (legacy),计算平台,manufacturer,ind1,NVIDIA Robotics,产业,0
cp-jetson-agx-xavier,Jetson AGX Xavier (legacy),计算平台,series-member,cp-jetson-agx-thor,Jetson AGX Thor (T5000),计算平台,0
cp-jetson-agx-xavier,Jetson AGX Xavier (legacy),计算平台,series-member,cp-jetson-orin-nano,Jetson Orin Nano (8GB / 4GB),计算平台,0
